height,weight,BMI,BMI_corrected,BMI_cat
58,115,24.056379860678874,24.056379860678874,Normal weight (NW)
59,117,23.652130039106392,23.652130039106392,Normal weight (NW)
60,120,23.456713580093826,23.456713580093826,Normal weight (NW)
61,123,23.26129349920619,23.26129349920619,Normal weight (NW)
62,126,23.066175164608396,23.066175164608396,Normal weight (NW)
63,192,22.87162548625929,34.041489095827785,Obesity (OB)
64,132,22.677877387004777,22.677877387004777,Normal weight (NW)
65,153,22.485133727663904,25.48315155801909,Overweight (OW)
66,193,22.45511837212839,31.178689538278988,Obesity (OB)
67,142,22.260102439563312,22.260102439563312,Normal weight (NW)
68,146,22.218945821974696,22.218945821974696,Normal weight (NW)
69,150,22.1708067864781,22.1708067864781,Normal weight (NW)
70,154,22.116329946945605,22.116329946945605,Normal weight (NW)
71,159,22.195700015284185,22.195700015284185,Normal weight (NW)
72,164,22.26215872184831,22.26215872184831,Normal weight (NW)
